ENG,ITA,ENG,ITA
Accomplished,"esperto, abile",Budding,in erba
Aggressive,"aggressivo, deciso",Laid-back,"rilassato, spensierato"
Analytical,analitico,Emotional,emotivo
Artistic,artistico,Scientific,scientifico
Austere,"rigoroso, spartano",Glamorous,"entusiasmante, di stile"
Best in Class,"migliore, superiore",Ordinary,"ordinario, comune"
Big,grande ,Small,piccolo
Bold,sfrontato,Quiet,"tranquillo, riservato"
Brash,sfacciato,Humble,umile
Calm,"tranquillo, calmo",Energetic,"energetico, vivace"
Certain,certo,Curious,curioso
Conventional,convenzionale,Experimental,sperimentale
Daring,coraggioso provocando,Adventurous,amante del rischio
Dependable,"fidato, sicuro",Surprising,"sorpendente, inaspettato"
Disciplined,"disciplinato, organizzato",Relaxed,"disteso, rilassato"
Effortless,semplice,Rigorous,impegnativo
Everyday,all'ordine del giorno,Momentous,importantissimo
Exclusive,esclusivo,Approachable,accessibile
Focused,mirato,Multifaceted,"vario, poliedrico"
Formal,"formale, da cerimonia",Casual,informale
Free,libero,Secure,"protetto, sicuro"
High-end,"di lusso, esclusivo",Basic,sobrio
Industrial,industriale,Organic,"naturale, organico"
Mass-market,di massa,Niche,di nicchia
Mysterious,enigmatico,Relatable,riconoscibile
Nostalgic,nostalgico,Futuristic,futuristico
Opinionated,supponente,Open-Minded,mentalità aperta
Pessimistic,pessimista,Optimistic,ottimista
Practical,concreto,Imaginative,fantasioso
Professional,professionale,Playful,giocoso
Rational,"ragionevole, logico",Radical,"drastico, estremista"
Realistic,realista,Idealistic,idealista
Refined,"sofisticato, fine",Raw,crudo
Reserved,"riservato, chiuso",Welcoming,"accogliente, caloroso"
Respectful,rispettoso,Cheeky,provocante
Rugged,"aspro, vigoroso",Graceful,"elegante, garbato"
Scholarly,colto,Savvy,"furbo, scaltro"
Serious,"serio, severo",Fun,"divertente, spassoso"
Simple,semplice,Complex,complesso
Sincere,"sincero, onesto",Clever,"perspicace, arguto"
Sophisticated,"ricercato, fine",Wide-eyed,"ad occhi spalancati, ingenuo"
Standardized,standardizzato,Crafted,fatto a mano
Steady,"saldo, stabile",Dynamic,"dinamico, in movimento"
Subtle,"discreto, sottile",Vibrant,"vivace, acceso"
Technical,tecnico,Intuitive,intuitivo
Timeless,"senza tempo, eterno",Current,attuale
Traditional,tradizionale,Progressive,progressista
Trusted,di fiducia,Cutting-Edge,innovativo
Vintage,"vintage, antico",Modern,moderno
Wise,saggio,Geeky,"smanettone, fissato tech"